id_products,date_invoices,codigo_producto,nombre_producto,categoria,cantidad_vendida,precio,stock,promocion_activa,bodega_id,fecha_vencimiento
1,2023-01-05,7401002200015,Leche Dos Pinos Entera 1L,Lácteos,1,950,100,0,1,2023-01-20
1,2023-11-20,7401002200015,Leche Dos Pinos Entera 1L,Lácteos,2,950,85,1,L1,2023-12-15
1,2023-12-15,7401002200015,Leche Dos Pinos Entera 1L,Lácteos,3,950,70,1,L1,2024-01-05
1,2023-12-01,7401002200015,Leche Dos Pinos Entera 1L,Lácteos,1,950,69,1,L1,2023-12-25
1,2023-12-22,7401002200015,Leche Dos Pinos Entera 1L,Lácteos,5,950,50,0,L2,2024-01-10
1,2023-12-28,7401002200015,Leche Dos Pinos Entera 1L,Lácteos,2,950,48,1,L2,2024-01-15
1,2023-11-05,7401002200015,Leche Dos Pinos Entera 1L,Lácteos,1,950,90,1,L3,2023-12-01
1,2023-11-10,7401002200015,Leche Dos Pinos Entera 1L,Lácteos,2,950,88,0,L3,2023-12-05
1,2023-11-18,7401002200015,Leche Dos Pinos Entera 1L,Lácteos,4,950,84,0,L3,2023-12-10
1,2023-12-05,7401002200015,Leche Dos Pinos Entera 1L,Lácteos,2,950,82,1,L1,2023-12-30
1,2023-12-10,7401002200015,Leche Dos Pinos Entera 1L,Lácteos,1,950,81,0,L2,2024-01-01
1,2023-09-01,7401002200015,Leche Dos Pinos Entera 1L,Lácteos,1,950,150,0,L1,2023-09-25
1,2023-09-15,7401002200015,Leche Dos Pinos Entera 1L,Lácteos,2,950,148,0,L2,2023-10-10
1,2023-10-03,7401002200015,Leche Dos Pinos Entera 1L,Lácteos,1,950,147,0,L3,2023-10-25
1,2023-10-18,7401002200015,Leche Dos Pinos Entera 1L,Lácteos,2,950,145,0,L1,2023-11-10
1,2023-10-25,7401002200015,Leche Dos Pinos Entera 1L,Lácteos,1,950,144,0,L2,2023-11-15
1,2023-08-05,7401002200015,Leche Dos Pinos Entera 1L,Lácteos,2,950,160,0,L3,2023-08-30
1,2023-08-12,7401002200015,Leche Dos Pinos Entera 1L,Lácteos,1,950,159,0,L1,2023-09-05
1,2023-08-20,7401002200015,Leche Dos Pinos Entera 1L,Lácteos,3,950,156,0,L2,2023-09-10
1,2023-07-01,7401002200015,Leche Dos Pinos Entera 1L,Lácteos,1,950,170,0,L3,2023-07-25
1,2023-07-15,7401002200015,Leche Dos Pinos Entera 1L,Lácteos,2,950,168,0,L1,2023-08-10
1,2023-07-28,7401002200015,Leche Dos Pinos Entera 1L,Lácteos,1,950,167,0,L2,2023-08-15
1,2023-06-03,7401002200015,Leche Dos Pinos Entera 1L,Lácteos,2,950,180,0,L3,2023-06-25
1,2023-06-10,7401002200015,Leche Dos Pinos Entera 1L,Lácteos,1,950,179,0,L1,2023-07-05
1,2023-06-25,7401002200015,Leche Dos Pinos Entera 1L,Lácteos,2,950,177,0,L2,2023-07-10
1,2023-05-01,7401002200015,Leche Dos Pinos Entera 1L,Lácteos,1,950,190,0,L3,2023-05-25
1,2023-05-15,7401002200015,Leche Dos Pinos Entera 1L,Lácteos,2,950,188,0,L1,2023-06-10
1,2023-05-20,7401002200015,Leche Dos Pinos Entera 1L,Lácteos,1,950,187,0,L2,2023-06-15
1,2023-04-05,7401002200015,Leche Dos Pinos Entera 1L,Lácteos,1,950,200,0,L3,2023-04-25
